Ancient	Recent	All
0.000	0.421	0.364
0.000	0.333	0.273
0.000	0.474	0.409
0.000	0.222	0.190
0.000	0.188	0.150
0.000	0.412	0.304
0.000	0.214	0.176
0.000	0.524	0.458
0.000	0.357	0.263
0.000	0.188	0.158
0.000	0.368	0.318
0.000	0.304	0.269
0.000	0.588	0.435
0.000	0.235	0.200
0.000	0.476	0.417
0.000	0.368	0.318
0.000	0.278	0.227
0.000	0.444	0.381
0.000	0.278	0.238
0.000	0.467	0.333
0.000	0.400	0.300
0.000	0.389	0.333
0.000	0.294	0.227
0.000	0.333	0.263
0.000	0.400	0.333
0.000	0.316	0.261
0.000	0.214	0.167
0.000	0.167	0.118
0.000	0.368	0.318
0.000	0.400	0.364
0.000	0.167	0.130
0.000	0.118	0.095
0.000	0.429	0.316
0.000	0.227	0.208
0.000	0.500	0.421
0.000	0.133	0.105
0.000	0.294	0.250
0.000	0.211	0.174
0.000	0.400	0.348
0.000	0.176	0.143
0.000	0.409	0.360
0.000	0.375	0.286
0.000	0.200	0.185
0.000	0.438	0.350
0.000	0.588	0.476
0.000	0.067	0.056
0.000	0.421	0.364
0.000	0.400	0.333
0.000	0.500	0.409
0.000	0.235	0.211
0.000	0.429	0.360
0.000	0.300	0.273
0.000	0.214	0.158
0.000	0.450	0.375
0.000	0.600	0.480
0.000	0.200	0.158
0.000	0.333	0.304
0.000	0.400	0.333
0.000	0.500	0.423
0.000	0.316	0.273
0.000	0.250	0.200
0.000	0.188	0.158
0.000	0.263	0.238
0.000	0.071	0.059
0.000	0.533	0.400
0.000	0.235	0.190
0.000	0.313	0.238
0.000	0.526	0.417
0.000	0.389	0.318
0.000	0.467	0.350
0.000	0.316	0.250
0.000	0.143	0.111
0.000	0.421	0.333
0.000	0.381	0.333
0.000	0.421	0.348
0.000	0.368	0.304
0.000	0.368	0.318
0.000	0.385	0.263
0.000	0.563	0.429
0.000	0.409	0.375
0.000	0.222	0.190
0.000	0.313	0.250
0.000	0.400	0.333
0.000	0.313	0.238
0.000	0.308	0.222
0.000	0.467	0.350
0.000	0.286	0.250
0.000	0.353	0.286
0.000	0.294	0.250
0.000	0.250	0.200
0.000	0.238	0.217
0.000	0.313	0.238
0.000	0.538	0.350
0.000	0.500	0.400
0.000	0.316	0.273
0.000	0.231	0.167
0.000	0.200	0.182
0.000	0.429	0.375
0.000	0.250	0.200
0.000	0.188	0.167
