Ancient	Recent	All
0.200	0.500	0.444
0.143	0.708	0.581
0.000	0.364	0.286
0.000	0.333	0.259
0.167	0.545	0.464
0.000	0.500	0.407
0.143	0.522	0.433
0.000	0.409	0.333
0.250	0.476	0.440
0.000	0.421	0.348
0.000	0.333	0.259
0.000	0.455	0.370
0.000	0.476	0.385
0.167	0.826	0.690
0.000	0.455	0.370
0.000	0.381	0.320
0.000	0.400	0.308
0.000	0.550	0.440
0.000	0.476	0.417
0.167	0.381	0.333
0.000	0.522	0.414
0.000	0.542	0.464
0.000	0.545	0.429
0.000	0.435	0.357
0.000	0.522	0.414
0.125	0.565	0.452
0.200	0.476	0.423
0.250	0.720	0.606
0.000	0.667	0.516
0.000	0.609	0.483
0.000	0.680	0.548
0.000	0.455	0.357
0.000	0.391	0.321
0.000	0.524	0.407
0.000	0.435	0.357
0.000	0.526	0.417
0.167	0.773	0.643
0.143	0.696	0.567
0.000	0.520	0.419
0.000	0.375	0.310
0.000	0.500	0.400
0.000	0.565	0.464
0.143	0.609	0.500
0.250	0.500	0.462
0.000	0.333	0.261
0.000	0.409	0.310
0.000	0.500	0.407
0.000	0.524	0.423
0.167	0.500	0.433
0.167	0.636	0.536
0.000	0.381	0.320
0.167	0.591	0.500
0.143	0.500	0.414
0.200	0.435	0.393
0.000	0.435	0.357
0.000	0.429	0.346
0.000	0.391	0.321
0.000	0.524	0.423
0.000	0.368	0.292
0.000	0.520	0.419
0.000	0.500	0.400
0.000	0.400	0.333
0.167	0.455	0.393
0.167	0.545	0.464
0.000	0.478	0.379
0.000	0.435	0.357
0.000	0.476	0.385
0.250	0.600	0.542
0.167	0.391	0.345
0.000	0.261	0.222
0.000	0.409	0.346
0.200	0.500	0.444
0.500	0.609	0.586
0.000	0.435	0.370
0.000	0.409	0.310
0.000	0.318	0.250
0.000	0.545	0.444
0.167	0.565	0.483
0.000	0.211	0.160
0.000	0.478	0.423
0.000	0.458	0.379
0.250	0.524	0.480
0.167	0.522	0.448
0.125	0.560	0.455
0.000	0.409	0.333
0.000	0.478	0.379
0.000	0.545	0.429
0.000	0.435	0.345
0.000	0.409	0.333
0.286	0.609	0.533
0.000	0.522	0.414
0.167	0.522	0.448
0.000	0.409	0.321
0.000	0.217	0.172
0.000	0.583	0.467
0.000	0.417	0.333
0.000	0.100	0.087
0.200	0.450	0.400
0.000	0.565	0.448
0.000	0.111	0.095
