Ancient	Recent	All
0.000	0.600	0.484
0.000	0.320	0.258
0.000	0.323	0.244
0.000	0.364	0.293
0.000	0.355	0.268
0.000	0.533	0.432
0.000	0.542	0.419
0.000	0.222	0.182
0.000	0.444	0.353
0.000	0.520	0.406
0.000	0.364	0.250
0.000	0.625	0.469
0.000	0.464	0.371
0.000	0.286	0.250
0.000	0.370	0.294
0.000	0.208	0.161
0.000	0.385	0.313
0.000	0.346	0.257
0.000	0.346	0.281
0.000	0.348	0.267
0.000	0.440	0.344
0.000	0.538	0.424
0.182	0.650	0.484
0.000	0.375	0.281
0.000	0.522	0.400
0.000	0.556	0.417
0.000	0.417	0.323
0.000	0.542	0.394
0.000	0.324	0.261
0.000	0.500	0.375
0.000	0.296	0.235
0.000	0.742	0.639
0.000	0.467	0.389
0.000	0.444	0.353
0.000	0.550	0.355
0.000	0.269	0.206
0.000	0.393	0.333
0.000	0.407	0.297
0.000	0.538	0.412
0.222	0.667	0.556
0.000	0.222	0.188
0.000	0.516	0.457
0.000	0.464	0.371
0.000	0.391	0.290
0.000	0.654	0.500
0.000	0.348	0.267
0.000	0.370	0.313
0.000	0.552	0.432
0.167	0.429	0.382
0.000	0.444	0.364
0.000	0.231	0.182
0.000	0.259	0.206
0.000	0.290	0.265
0.167	0.467	0.417
0.000	0.667	0.452
0.000	0.524	0.393
0.000	0.440	0.344
0.000	0.483	0.378
0.100	0.571	0.419
0.000	0.304	0.219
0.000	0.286	0.242
0.000	0.414	0.324
0.000	0.273	0.209
0.000	0.348	0.250
0.000	0.560	0.400
0.000	0.375	0.281
0.000	0.433	0.333
0.000	0.240	0.176
0.000	0.500	0.353
0.000	0.467	0.359
0.000	0.455	0.375
0.000	0.154	0.121
0.000	0.577	0.455
0.000	0.174	0.129
0.000	0.714	0.606
0.100	0.391	0.303
0.000	0.286	0.235
0.000	0.500	0.371
0.000	0.560	0.412
0.000	0.419	0.361
0.000	0.571	0.375
0.000	0.480	0.375
0.000	0.467	0.378
0.000	0.407	0.314
0.000	0.333	0.290
0.000	0.613	0.475
0.000	0.667	0.571
0.000	0.333	0.233
0.000	0.357	0.294
0.000	0.500	0.333
0.000	0.565	0.371
0.000	0.640	0.516
0.000	0.346	0.273
0.000	0.516	0.432
0.000	0.680	0.531
0.125	0.524	0.414
0.000	0.389	0.311
0.000	0.346	0.273
0.000	0.375	0.273
0.000	0.379	0.324
