Ancient	Recent	All
0.429	0.750	0.698
0.000	0.588	0.488
0.091	0.561	0.462
0.111	0.417	0.356
0.364	0.630	0.553
0.125	0.514	0.444
0.125	0.686	0.581
0.286	0.419	0.395
0.000	0.613	0.487
0.250	0.688	0.600
0.182	0.533	0.439
0.111	0.882	0.721
0.250	0.531	0.475
0.000	0.487	0.432
0.250	0.500	0.458
0.125	0.500	0.425
0.286	0.697	0.625
0.100	0.625	0.500
0.000	0.515	0.425
0.125	0.757	0.644
0.125	0.595	0.511
0.250	0.576	0.512
0.417	0.853	0.739
0.111	0.595	0.500
0.000	0.645	0.513
0.200	0.757	0.638
0.000	0.645	0.513
0.300	0.606	0.535
0.100	0.588	0.477
0.222	0.656	0.561
0.000	0.500	0.389
0.167	0.667	0.576
0.286	0.586	0.528
0.125	0.429	0.361
0.083	0.719	0.545
0.000	0.486	0.386
0.167	0.389	0.357
0.000	0.655	0.475
0.000	0.586	0.447
0.300	0.625	0.548
0.000	0.382	0.325
0.400	0.763	0.721
0.250	0.500	0.450
0.111	0.553	0.468
0.222	0.758	0.643
0.250	0.545	0.488
0.000	0.545	0.462
0.111	0.656	0.537
0.429	0.529	0.512
0.143	0.633	0.541
0.125	0.516	0.436
0.000	0.333	0.268
0.250	0.471	0.447
0.429	0.667	0.625
0.182	0.735	0.600
0.375	0.694	0.636
0.250	0.688	0.600
0.000	0.485	0.381
0.273	0.633	0.537
0.200	0.655	0.538
0.000	0.600	0.500
0.222	0.471	0.419
0.091	0.391	0.333
0.000	0.656	0.500
0.000	0.647	0.489
0.000	0.500	0.395
0.100	0.744	0.612
0.100	0.543	0.444
0.000	0.485	0.364
0.000	0.520	0.371
0.000	0.600	0.488
0.000	0.364	0.293
0.125	0.655	0.541
0.000	0.294	0.233
0.167	0.781	0.684
0.273	0.636	0.545
0.143	0.333	0.297
0.200	0.742	0.610
0.100	0.800	0.644
0.000	0.367	0.306
0.167	0.889	0.708
0.125	0.688	0.575
0.000	0.583	0.477
0.000	0.586	0.447
0.200	0.600	0.550
0.300	0.800	0.675
0.000	0.813	0.684
0.000	0.538	0.429
0.143	0.645	0.553
0.167	0.656	0.523
0.077	0.833	0.633
0.286	0.719	0.641
0.000	0.581	0.462
0.000	0.679	0.543
0.000	0.629	0.512
0.333	0.794	0.698
0.000	0.484	0.366
0.375	0.550	0.521
0.200	0.588	0.500
0.000	0.516	0.432
